Title,Url,Rating,Subject
Intro to Python for Data Science,https://www.classcentral.com/course/datacamp-intro-to-python-for-data-science-7631,4.3076923076923,Data Science Courses
Data Analysis: Take It to the MAX(),https://www.classcentral.com/course/edx-data-analysis-take-it-to-the-max-2916,3.3846153846154,Data Science Courses
Biology Meets Programming: Bioinformatics for Beginners,https://www.classcentral.com/course/bioinformatics-745,3.75,Data Science Courses
Python for Genomic Data Science,https://www.classcentral.com/course/genpython-3476,2.4166666666667,Data Science Courses
Introduction to R,https://www.classcentral.com/course/datacamp-introduction-to-r-7630,3.75,Data Science Courses
Reproducible Research,https://www.classcentral.com/course/repdata-1716,3.8846153846154,Data Science Courses
Bayesian Statistics: From Concept to Data Analysis,https://www.classcentral.com/course/bayesian-statistics-6633,3.875,Data Science Courses
Data Analysis for Social Scientists,https://www.classcentral.com/course/edx-data-analysis-for-social-scientists-6842,3.0909090909091,Data Science Courses
Applied Data Science: An Introduction,https://www.classcentral.com/course/open-education-by-blackboard-applied-data-science-an-introduction-1806,4.5,Data Science Courses
Aprendizaje automático y ciencia de datos,https://www.classcentral.com/course/edx-aprendizaje-automatico-y-ciencia-de-datos-12250,4.5,Data Science Courses
Data Science: R Basics,https://www.classcentral.com/course/edx-data-science-r-basics-9253,4.5,Data Science Courses
Probability and Statistics in Data Science using Python,https://www.classcentral.com/course/edx-probability-and-statistics-in-data-science-using-python-8213,2.7777777777778,Data Science Courses
Введение в биоинформатику (Introduction to Bioinformatics),https://www.classcentral.com/course/bioinfo-1390,5,Data Science Courses
Genomic Data Science and Clustering (Bioinformatics V),https://www.classcentral.com/course/clustering-3556,3.5,Data Science Courses
Introduction to Systematic Review and Meta-Analysis,https://www.classcentral.com/course/systematicreview-3480,5,Data Science Courses
Gamification,https://www.classcentral.com/course/gamification-343,4.5178571428571,Art & Design Courses
What is a Mind?,https://www.classcentral.com/course/what-is-a-mind-3314,4.8342541436464,Social Sciences Courses
Principles of fMRI 2,https://www.classcentral.com/course/fmri2-4814,0,Health & Medicine Courses
Sustainability in Architecture: An Interdisciplinary Introduction,https://www.classcentral.com/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438,3.6046511627907,Art & Design Courses
How to Write Your First Song,https://www.classcentral.com/course/songwriting-3369,4.6176470588235,Art & Design Courses
Introduction to Real-Time Audio Programming in ChucK,https://www.classcentral.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749,5,Art & Design Courses
Sound Production in Ableton Live for Musicians and Artists,https://www.classcentral.com/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765,4.9666666666667,Art & Design Courses
Fundamentals of Graphic Design,https://www.classcentral.com/course/fundamentals-of-graphic-design-4792,3.9444444444444,Art & Design Courses
Guitar for Beginners,https://www.classcentral.com/course/guitar-522,4.4444444444444,Art & Design Courses
The Music of the Beatles,https://www.classcentral.com/course/beatles-1135,4.6666666666667,Art & Design Courses
Introduction to Classical Music,https://www.classcentral.com/course/introclassicalmusic-2987,4.8333333333333,Art & Design Courses
Programming Max: Structuring Interactive Software for Digital Arts,https://www.classcentral.com/course/kadenze-programming-max-structuring-interactive-software-for-digital-arts-6411,4.7727272727273,Art & Design Courses
"History of Rock, Part One",https://www.classcentral.com/course/historyofrock1-690,4.8235294117647,Art & Design Courses
The 3D Printing Revolution,https://www.classcentral.com/course/3d-printing-revolution-5991,4.7647058823529,Art & Design Courses
Introduction to Graphic Illustration,https://www.classcentral.com/course/kadenze-introduction-to-graphic-illustration-3773,4.7619047619048,Art & Design Courses
Exploring Beethoven’s Piano Sonatas,https://www.classcentral.com/course/beethovensonatas-730,4.4666666666667,Art & Design Courses
Songwriting: Writing the Lyrics,https://www.classcentral.com/course/songwriting-lyrics-523,4.5789473684211,Art & Design Courses
Radio para internet con Podcast: creación y conceptos básicos,https://www.classcentral.com/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824,4.2105263157895,Art & Design Courses
Fundamentals of Music Theory,https://www.classcentral.com/course/musictheory-1358,4.047619047619,Art & Design Courses
Roman Architecture,https://www.classcentral.com/course/romanarchitecture-910,4.25,Art & Design Courses
Introduction to Game Design,https://www.classcentral.com/course/intro-game-design-4220,4.4166666666667,Art & Design Courses
Developing Your Musicianship,https://www.classcentral.com/course/musicianship-1726,4.5,Art & Design Courses
Design: Creation of Artifacts in Society,https://www.classcentral.com/course/design-371,4.6,Art & Design Courses
Introduction to Typography,https://www.classcentral.com/course/typography-5444,4.3333333333333,Art & Design Courses
Innovation: the Fashion Industry,https://www.classcentral.com/course/fashion-innovation-5004,3.5555555555556,Art & Design Courses
Comics: Art in Relationship,https://www.classcentral.com/course/kadenze-comics-art-in-relationship-3775,4.5384615384615,Art & Design Courses
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",https://www.classcentral.com/course/film-images-542,2.75,Art & Design Courses
Intro to the Design of Everyday Things,https://www.classcentral.com/course/udacity-intro-to-the-design-of-everyday-things-1044,3.9,Art & Design Courses
A Global History of Architecture,https://www.classcentral.com/course/edx-a-global-history-of-architecture-928,4.9,Art & Design Courses
Introduction to Graphic Design History,https://www.classcentral.com/course/kadenze-introduction-to-graphic-design-history-5892,4.6666666666667,Art & Design Courses
Sound Synthesis Using Reaktor,https://www.classcentral.com/course/kadenze-sound-synthesis-using-reaktor-3766,4.3333333333333,Art & Design Courses
The Modern Genius: Art and Culture in the 19th Century,https://www.classcentral.com/course/kadenze-the-modern-genius-art-and-culture-in-the-19th-century-3747,4.875,Art & Design Courses
Information Design,https://www.classcentral.com/course/infodesign-2787,5,Art & Design Courses
崑曲之美,https://www.classcentral.com/course/kunqu-652,4.5,Art & Design Courses
The Olympic Games and the Media,https://www.classcentral.com/course/olympicgames-1772,2,Art & Design Courses
Management of Fashion and Luxury Companies,https://www.classcentral.com/course/mafash-1374,5,Art & Design Courses
20世纪西方音乐 Western Music in the 20th Century,https://www.classcentral.com/course/20cnwm-2358,5,Art & Design Courses
